train_loss,val_loss,train_acc,val_acc
3.0366333204766978,1.5346555709838867,23.6734693877551,56.82539682539682
1.3400900545327559,0.7425145149230957,59.183673469387756,76.82539682539682
0.7349147796630859,0.44350342750549315,77.89115646258503,86.66666666666667
0.5256122337735217,0.3158662855625153,84.6938775510204,89.52380952380952
0.39076090247734735,0.23065753877162934,88.16326530612245,92.6984126984127
0.31981333701506903,0.17941919416189195,89.79591836734694,93.96825396825396
0.2977804240325223,0.15622647106647491,91.42857142857143,94.60317460317461
0.23638677175926126,0.13957029283046724,93.74149659863946,95.55555555555556
0.2328160959093467,0.12967494130134583,93.19727891156462,96.19047619047619
0.19595949999664142,0.13276540637016296,94.08163265306122,96.19047619047619
0.1789118482366852,0.11532924622297287,94.96598639455782,96.82539682539682
0.14071906698138817,0.10199717283248902,96.05442176870748,96.5079365079365
0.1667044878653858,0.10402153730392456,95.17006802721089,96.19047619047619
0.14027351562095725,0.10199984535574913,95.71428571428571,96.82539682539682
0.1530306216167367,0.10600970014929771,95.78231292517007,96.19047619047619
0.11065389961004257,0.08695300072431564,96.93877551020408,97.46031746031746
0.12576237968776538,0.08399171680212021,96.19047619047619,97.77777777777777
0.12489202408039052,0.08173464685678482,96.25850340136054,97.46031746031746
0.10143370999266273,0.07677284441888332,97.21088435374149,98.0952380952381
0.09750493356715077,0.07773900367319583,96.93877551020408,97.46031746031746
