train_loss,val_loss,train_acc,val_acc
3.3047226926554805,3.1131261348724366,6.190476190476191,4.761904761904762
3.1241428126459536,2.962722969055176,7.346938775510204,9.841269841269842
3.03259073133054,3.124987983703613,9.115646258503402,12.698412698412698
3.0053566124128257,2.942751407623291,10.0,16.825396825396826
2.9357700762541397,3.1924970149993896,11.768707482993197,14.285714285714286
2.9167903195256772,2.92651743888855,11.97278911564626,16.19047619047619
2.884557340456092,3.1624624252319338,13.401360544217686,19.682539682539684
2.834890489992888,3.4123294353485107,14.625850340136054,20.952380952380953
2.8447012279344643,3.0354504108428957,15.374149659863946,19.047619047619047
2.7852971864783247,3.2448973655700684,15.510204081632653,24.444444444444443
2.7238382256549336,2.671098232269287,17.07482993197279,25.396825396825395
2.7237057271211045,2.790015363693237,17.755102040816325,23.174603174603174
2.686483507571013,2.998072648048401,19.45578231292517,28.88888888888889
2.582832844361015,2.7346728324890135,21.292517006802722,28.253968253968253
2.533137850139452,2.574716567993164,21.632653061224488,28.88888888888889
2.4600698947906494,2.677430820465088,25.4421768707483,31.428571428571427
2.4370534212692925,2.403499221801758,24.421768707482993,34.285714285714285
2.3921114465464717,2.5519739389419556,26.19047619047619,34.6031746031746
2.381814614586208,2.433778429031372,26.462585034013607,33.333333333333336
2.294444332952085,2.380237364768982,28.503401360544217,36.507936507936506
